enunciado,a,b,c,d,e,correta,lvl
Qual cantor é conhecido como o 'Rei do Baião'? (1),Luiz Gonzaga,Chico Buarque,Caetano Veloso,Gilberto Gil,Milton Nascimento,A,1
Qual é o gênero musical da música 'Ai Se Eu Te Pego' de Michel Teló? (2),Samba,Forró,Sertanejo,Axé,Funk,C,1
Quem canta a música 'Evidências' em dupla com Leonardo? (3),Zezé Di Camargo,Luciano,Chitãozinho,Xororó,Bruno,C,1
Qual desses é um famoso festival de música no Brasil? (4),Lollapalooza,Tomorrowland,Rock in Rio,Woodstock,Coachella,C,1
"Quem é a cantora da música 'Envolver', que se tornou hit mundial? (5)",Ivete Sangalo,Ludmilla,Anitta,Pabllo Vittar,Marília Mendonça,C,1
Qual cantor é conhecido como o 'Rei do Baião'? (6),Luiz Gonzaga,Chico Buarque,Caetano Veloso,Gilberto Gil,Milton Nascimento,A,1
Qual é o gênero musical da música 'Ai Se Eu Te Pego' de Michel Teló? (7),Samba,Forró,Sertanejo,Axé,Funk,C,1
Quem canta a música 'Evidências' em dupla com Leonardo? (8),Zezé Di Camargo,Luciano,Chitãozinho,Xororó,Bruno,C,1
Qual desses é um famoso festival de música no Brasil? (9),Lollapalooza,Tomorrowland,Rock in Rio,Woodstock,Coachella,C,1
"Quem é a cantora da música 'Envolver', que se tornou hit mundial? (10)",Ivete Sangalo,Ludmilla,Anitta,Pabllo Vittar,Marília Mendonça,C,1
Qual cantor é conhecido como o 'Rei do Baião'? (11),Luiz Gonzaga,Chico Buarque,Caetano Veloso,Gilberto Gil,Milton Nascimento,A,1
Qual é o gênero musical da música 'Ai Se Eu Te Pego' de Michel Teló? (12),Samba,Forró,Sertanejo,Axé,Funk,C,1
Quem canta a música 'Evidências' em dupla com Leonardo? (13),Zezé Di Camargo,Luciano,Chitãozinho,Xororó,Bruno,C,1
Qual desses é um famoso festival de música no Brasil? (14),Lollapalooza,Tomorrowland,Rock in Rio,Woodstock,Coachella,C,1
"Quem é a cantora da música 'Envolver', que se tornou hit mundial? (15)",Ivete Sangalo,Ludmilla,Anitta,Pabllo Vittar,Marília Mendonça,C,1
Qual cantor é conhecido como o 'Rei do Baião'? (16),Luiz Gonzaga,Chico Buarque,Caetano Veloso,Gilberto Gil,Milton Nascimento,A,1
Qual é o gênero musical da música 'Ai Se Eu Te Pego' de Michel Teló? (17),Samba,Forró,Sertanejo,Axé,Funk,C,1
Quem canta a música 'Evidências' em dupla com Leonardo? (18),Zezé Di Camargo,Luciano,Chitãozinho,Xororó,Bruno,C,1
Qual desses é um famoso festival de música no Brasil? (19),Lollapalooza,Tomorrowland,Rock in Rio,Woodstock,Coachella,C,1
"Quem é a cantora da música 'Envolver', que se tornou hit mundial? (20)",Ivete Sangalo,Ludmilla,Anitta,Pabllo Vittar,Marília Mendonça,C,1
Qual é o gênero musical tradicional do Rio de Janeiro? (1),Samba,Forró,Axé,Frevo,Pagode,A,2
Quem é conhecido como o 'Poeta do Samba'? (2),Cartola,Noel Rosa,Zeca Pagodinho,Martinho da Vila,Arlindo Cruz,A,2
Qual desses é um estilo musical originado nas favelas cariocas? (3),Funk,Samba,Forró,Axé,Maracatu,A,2
A música 'Garota de Ipanema' foi composta por Tom Jobim e... (4),Vinicius de Moraes,Chico Buarque,Caetano Veloso,Gilberto Gil,Milton Nascimento,A,2
A banda 'Legião Urbana' é associada a qual gênero? (5),Samba,Rock,Funk,Forró,Axé,B,2
Qual é o gênero musical tradicional do Rio de Janeiro? (6),Samba,Forró,Axé,Frevo,Pagode,A,2
Quem é conhecido como o 'Poeta do Samba'? (7),Cartola,Noel Rosa,Zeca Pagodinho,Martinho da Vila,Arlindo Cruz,A,2
Qual desses é um estilo musical originado nas favelas cariocas? (8),Funk,Samba,Forró,Axé,Maracatu,A,2
A música 'Garota de Ipanema' foi composta por Tom Jobim e... (9),Vinicius de Moraes,Chico Buarque,Caetano Veloso,Gilberto Gil,Milton Nascimento,A,2
A banda 'Legião Urbana' é associada a qual gênero? (10),Samba,Rock,Funk,Forró,Axé,B,2
Qual é o gênero musical tradicional do Rio de Janeiro? (11),Samba,Forró,Axé,Frevo,Pagode,A,2
Quem é conhecido como o 'Poeta do Samba'? (12),Cartola,Noel Rosa,Zeca Pagodinho,Martinho da Vila,Arlindo Cruz,A,2
Qual desses é um estilo musical originado nas favelas cariocas? (13),Funk,Samba,Forró,Axé,Maracatu,A,2
A música 'Garota de Ipanema' foi composta por Tom Jobim e... (14),Vinicius de Moraes,Chico Buarque,Caetano Veloso,Gilberto Gil,Milton Nascimento,A,2
A banda 'Legião Urbana' é associada a qual gênero? (15),Samba,Rock,Funk,Forró,Axé,B,2
Qual é o gênero musical tradicional do Rio de Janeiro? (16),Samba,Forró,Axé,Frevo,Pagode,A,2
Quem é conhecido como o 'Poeta do Samba'? (17),Cartola,Noel Rosa,Zeca Pagodinho,Martinho da Vila,Arlindo Cruz,A,2
Qual desses é um estilo musical originado nas favelas cariocas? (18),Funk,Samba,Forró,Axé,Maracatu,A,2
A música 'Garota de Ipanema' foi composta por Tom Jobim e... (19),Vinicius de Moraes,Chico Buarque,Caetano Veloso,Gilberto Gil,Milton Nascimento,A,2
A banda 'Legião Urbana' é associada a qual gênero? (20),Samba,Rock,Funk,Forró,Axé,B,2
Qual é o gênero musical tradicional do Rio de Janeiro? (1),Samba,Forró,Axé,Frevo,Pagode,A,3
Quem é conhecido como o 'Poeta do Samba'? (2),Cartola,Noel Rosa,Zeca Pagodinho,Martinho da Vila,Arlindo Cruz,A,3
Qual desses é um estilo musical originado nas favelas cariocas? (3),Funk,Samba,Forró,Axé,Maracatu,A,3
A música 'Garota de Ipanema' foi composta por Tom Jobim e... (4),Vinicius de Moraes,Chico Buarque,Caetano Veloso,Gilberto Gil,Milton Nascimento,A,3
A banda 'Legião Urbana' é associada a qual gênero? (5),Samba,Rock,Funk,Forró,Axé,B,3
Qual é o gênero musical tradicional do Rio de Janeiro? (6),Samba,Forró,Axé,Frevo,Pagode,A,3
Quem é conhecido como o 'Poeta do Samba'? (7),Cartola,Noel Rosa,Zeca Pagodinho,Martinho da Vila,Arlindo Cruz,A,3
Qual desses é um estilo musical originado nas favelas cariocas? (8),Funk,Samba,Forró,Axé,Maracatu,A,3
A música 'Garota de Ipanema' foi composta por Tom Jobim e... (9),Vinicius de Moraes,Chico Buarque,Caetano Veloso,Gilberto Gil,Milton Nascimento,A,3
A banda 'Legião Urbana' é associada a qual gênero? (10),Samba,Rock,Funk,Forró,Axé,B,3
Qual é o gênero musical tradicional do Rio de Janeiro? (11),Samba,Forró,Axé,Frevo,Pagode,A,3
Quem é conhecido como o 'Poeta do Samba'? (12),Cartola,Noel Rosa,Zeca Pagodinho,Martinho da Vila,Arlindo Cruz,A,3
Qual desses é um estilo musical originado nas favelas cariocas? (13),Funk,Samba,Forró,Axé,Maracatu,A,3
A música 'Garota de Ipanema' foi composta por Tom Jobim e... (14),Vinicius de Moraes,Chico Buarque,Caetano Veloso,Gilberto Gil,Milton Nascimento,A,3
A banda 'Legião Urbana' é associada a qual gênero? (15),Samba,Rock,Funk,Forró,Axé,B,3
Qual cantor é conhecido como o 'Rei do Baião'? (1),Luiz Gonzaga,Chico Buarque,Caetano Veloso,Gilberto Gil,Milton Nascimento,A,4
Qual é o gênero musical da música 'Ai Se Eu Te Pego' de Michel Teló? (2),Samba,Forró,Sertanejo,Axé,Funk,C,4
Quem canta a música 'Evidências' em dupla com Leonardo? (3),Zezé Di Camargo,Luciano,Chitãozinho,Xororó,Bruno,C,4
Qual desses é um famoso festival de música no Brasil? (4),Lollapalooza,Tomorrowland,Rock in Rio,Woodstock,Coachella,C,4
"Quem é a cantora da música 'Envolver', que se tornou hit mundial? (5)",Ivete Sangalo,Ludmilla,Anitta,Pabllo Vittar,Marília Mendonça,C,4
Qual cantor é conhecido como o 'Rei do Baião'? (6),Luiz Gonzaga,Chico Buarque,Caetano Veloso,Gilberto Gil,Milton Nascimento,A,4
Qual é o gênero musical da música 'Ai Se Eu Te Pego' de Michel Teló? (7),Samba,Forró,Sertanejo,Axé,Funk,C,4
Quem canta a música 'Evidências' em dupla com Leonardo? (8),Zezé Di Camargo,Luciano,Chitãozinho,Xororó,Bruno,C,4
Qual desses é um famoso festival de música no Brasil? (9),Lollapalooza,Tomorrowland,Rock in Rio,Woodstock,Coachella,C,4
"Quem é a cantora da música 'Envolver', que se tornou hit mundial? (10)",Ivete Sangalo,Ludmilla,Anitta,Pabllo Vittar,Marília Mendonça,C,4
Qual cantor é conhecido como o 'Rei do Baião'? (11),Luiz Gonzaga,Chico Buarque,Caetano Veloso,Gilberto Gil,Milton Nascimento,A,4
