Quem é conhecido como o 'Poeta do Samba'? (1),Cartola,Noel Rosa,Zeca Pagodinho,Martinho da Vila,Arlindo Cruz,A,2
Quem canta a música 'Trem das Onze'? (2),Cartola,Adoniran Barbosa,Paulinho da Viola,João Nogueira,Martinho da Vila,B,2
Qual cantor é conhecido como o 'Rei do Baião'? (3),Luiz Gonzaga,Dominguinhos,Jackson do Pandeiro,Chico César,Fagner,A,2
Quem é a cantora da música 'Envolver'? (4),Ludmilla,Ivete Sangalo,Anitta,Pabllo Vittar,Marília Mendonça,C,2
Qual grupo é famoso pelo hit 'Pelados em Santos'? (5),Titãs,Mamonas Assassinas,Paralamas do Sucesso,Skank,RPM,B,2
Quem é o autor da música 'Construção'? (6),Caetano Veloso,Chico Buarque,Gilberto Gil,Djavan,Milton Nascimento,B,2
Qual estilo é característico de João Gilberto? (7),Samba,Axé,Bossa Nova,Forró,Choro,C,2
Qual é o gênero musical da música 'Ai Se Eu Te Pego'? (8),Samba,Forró,Sertanejo,Axé,Funk,C,2
Quem foi parceiro musical de Tom Jobim? (9),João Gilberto,Caetano Veloso,Chico Buarque,Vinicius de Moraes,Gal Costa,D,2
Qual desses é um famoso festival de música no Brasil? (10),Tomorrowland,Lollapalooza,Rock in Rio,Woodstock,Coachella,C,2
Qual é o nome da famosa música de Geraldo Vandré contra a ditadura? (11),Alegria,O Mundo é um Moinho,Pra Não Dizer que Não Falei das Flores,Cálice,Apesar de Você,C,2
Quem canta 'O Bêbado e a Equilibrista'? (12),Chico Buarque,Gal Costa,Elis Regina,Maria Rita,Vanessa da Mata,C,2
Qual desses artistas é um dos ícones do sertanejo universitário? (13),Zezé Di Camargo,Chitãozinho,Luan Santana,Leonardo,Daniel,C,2
Qual banda canta 'Garota Nacional'? (14),Skank,Jota Quest,Capital Inicial,Titãs,Os Paralamas,A,2
Quem compôs a música 'Asa Branca' com Luiz Gonzaga? (15),Humberto Teixeira,Chico Buarque,Tom Jobim,Dominguinhos,Gilberto Gil,A,2
Qual é o estilo musical da banda Legião Urbana? (16),MPB,Pop Rock,Sertanejo,Axé,Samba,B,2
Quem canta 'Flor de Lis'? (17),Djavan,Caetano Veloso,Gilberto Gil,Chico Buarque,Milton Nascimento,A,2
Quem é conhecido como o 'Pai do Rock Brasileiro'? (18),Rita Lee,Raul Seixas,Cazuza,Roberto Carlos,Tim Maia,B,2
Quem é famosa por cantar 'Velha Infância' nos Tribalistas? (19),Ivete Sangalo,Maria Gadú,Adriana Calcanhotto,Marisa Monte,Ana Carolina,D,2
Qual instrumento é característico no chorinho? (20),Violino,Guitarra,Pandeiro,Flauta,Berimbau,C,2
"Qual é o nome da famosa música de Cazuza que diz ""O tempo não para""? (21)",Exagerado,Ideologia,O Tempo Nao Para,Cidade Maravilhosa,Codinome Beija-Flor,C,3
"Quem é o compositor da clássica canção ""Romaria""? (22)",Djavan,Milton Nascimento,Ricardo Arjona,Renato Teixeira,Fagner,D,4
Qual cantor é conhecido como o 'Rei do Baião'? (23),Luiz Gonzaga,Dominguinhos,Jackson do Pandeiro,Chico César,Fagner,A,2
Quem é a cantora da música 'Envolver'? (24),Ludmilla,Ivete Sangalo,Anitta,Pabllo Vittar,Marília Mendonça,C,2
